variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,mu,sigma,a,b
The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US,Midpoint Salary,normal,lognormal,11.637788725942915,0.17261912641693203,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public",single_0,normal,lognormal,11.802174814235117,0.14734478738965062,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",single_1,normal,lognormal,11.728920363934025,0.11957133728793198,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue",single_2,normal,lognormal,11.909579772403482,0.13274637979929776,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $500 million to $1 billion (USD) revenue",single_3,normal,gaussian,120000.0,10000.0,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 201 to 500 Employees",single_4,normal,lognormal,11.763593289650368,0.15294730979884993,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in Remote",single_5,normal,lognormal,11.591974048921772,0.18034187452047828,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public",single_6,normal,lognormal,11.681547534670127,0.16552635496534787,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue",single_7,normal,lognormal,11.898780216501752,0.1980422004353651,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Manufacturing sector",single_8,normal,lognormal,11.599023511111524,0.13573602073900098,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA",single_9,normal,lognormal,11.687494928496202,0.1245158083777528,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Healthcare sector",single_10,normal,lognormal,11.591974048921772,0.18034187452047828,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 1 to 50 Employees",single_11,normal,lognormal,11.383463898403463,0.21954977070786863,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in NY",single_12,normal,lognormal,11.839296347932681,0.14213622802621248,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in PA",single_13,normal,lognormal,11.591974048921772,0.18034187452047828,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Retail & Wholesale sector",single_14,normal,lognormal,11.637788725942915,0.17261912641693203,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in CA",single_15,normal,lognormal,11.909579772403482,0.13274637979929776,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public, the company has 10000+ Employees",double_0,normal,lognormal,11.909579772403482,0.13274637979929776,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company is not public",double_1,normal,lognormal,11.723430112692304,0.1589899593819327,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue, the company has 10000+ Employees",double_2,normal,lognormal,11.723430112692304,0.1589899593819327,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 1 to 50 Employees",double_3,normal,gaussian,95000.0,10000.0,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company has 10000+ Employees",double_4,normal,lognormal,11.898780216501752,0.1980422004353651,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public, the company is in the Healthcare sector",double_5,normal,lognormal,11.599023511111524,0.13573602073900098,,
