variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,mu,sigma,a,b
The average waist circumference among adult (over 18) individuals in cm in the general US population,WaistCircumferenceCm,normal,gaussian,99.99999888422738,3.6320702725565526,,
The average total cholesterol among adult (over 18) individuals in units of mg/dL in the general US population,TotalCholesterolMgdl,normal,gaussian,200.0,9.080175115025883,,
The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population,BloodLeadUgdl,normal,lognormal,0.03885540448874364,0.5320699508370126,,
The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population,BloodCadmiumUgl,normal,lognormal,-1.0453986581943355,0.5018421998410348,,
The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population,BloodMercuryTotalUgl,normal,lognormal,0.41799079344330675,0.7247849836545937,,
The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population,BloodManganeseUgl,normal,lognormal,-0.2558685769203646,0.36495250049061684,,
The average weight among adult (over 18) individuals in the general US population in kilograms,WeightKg,normal,gaussian,80.00000010089315,4.540087835815639,,
The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor,DoctorToldYouHaveDiabetes,beta,beta,,,12.501386781015214,100.0
The probability that the average adult (over 18) in the US population takes medication for depression,TakeMedicationForDepression,beta,beta,,,13.577838807333007,95.62091070810028
The probability that the average adult (over 18) in the US population or their spouse has health insurance,CoveredByHealthInsurance,beta,beta,,,100.0,11.278782631161974
The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor,EverToldYouHadCancerOrMalignancy,beta,beta,,,13.9218343845881,100.0
The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor,EverToldYouHadHeartAttack,beta,beta,,,6.115407032385238,100.0
The probability that the average adult (over 18) in the US population has ever had serious difficulty concentrating,HaveSeriousDifficultyConcentrating,beta,beta,,,4.028399028163808,21.755438294348785
The probability that the average adult (over 18) in the US population is currently taking insulin,TakingInsulinNow,beta,beta,,,3.6561753775153965,24.11794843846186
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their blood cadmium level in ug/L is greater than 0.5425",easy_0,normal,gaussian,75.00000008203574,4.540087839004086,,
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given their weight in kilograms is greater than 94.5",easy_1,beta,beta,,,12.89111917009593,44.292299496324944
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they have ever been diagnosed with cancer by a doctor",easy_2,beta,beta,,,21.755195936237474,4.028362572519223
"The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor, given they have ever been diagnosed with diabetes by a doctor",easy_3,beta,beta,,,7.931569885831381,31.307153019105296
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they are currently taking insulin",easy_4,beta,beta,,,21.755195936237474,4.028362572519223
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given they have ever had a heart attack that was confirmed by a doctor",easy_5,beta,beta,,,11.68573789647238,34.77745157251321
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their waist circumference in centimeters is greater than 110.7",easy_6,normal,gaussian,95.0000001680876,4.540087850026896,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given they do not have health insurance",easy_7,normal,lognormal,-0.0022463547170377845,0.7693763497782152,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their waist circumference in centimeters is less than or equal to 87.9",easy_8,normal,lognormal,-0.5209362309157954,0.5682272263765825,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their blood mercury level in ug/L is less than or equal to 0.35",easy_9,normal,lognormal,-0.7058664761303594,0.5558264781315766,,
"The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population, given they are currently taking insulin",easy_10,normal,lognormal,2.120399006468447,0.3293793390606187,,
"The probability that the average adult (over 18) in the US population has ever had serious difficulty concentrating, given they take medication for depression",easy_11,beta,beta,,,7.931569885831381,31.307153019105296
"The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population, given their blood cadmium level in ug/L is greater than 0.5425",easy_12,normal,lognormal,0.4406952997295155,0.5845589120136898,,
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given their waist circumference in centimeters is greater than 110.7",easy_13,normal,lognormal,0.4406952997295155,0.5845589120136898,,
"The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor, given they are currently taking insulin",easy_14,beta,beta,,,7.926391252613865,40.82214950301343
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given they have ever had a heart attack that was confirmed by a doctor",easy_15,normal,lognormal,0.17221069214119855,0.5682273754517204,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given they have ever been diagnosed with diabetes by a doctor",easy_16,normal,gaussian,80.00000010089315,4.540087835815639,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their weight in kilograms is greater than 94.5",easy_17,normal,lognormal,-0.3566524155077032,0.4699462184496396,,
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given their blood lead level in ug/dL is greater than 0.55 and less than or equal to 0.92",easy_18,normal,lognormal,0.409734744920113,0.417943678193307,,
"The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population, given their weight in kilograms is greater than 66.5 and less than or equal to 78.9",easy_19,normal,lognormal,0.19186705966502218,0.5535748039208405,,
"The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population, given their blood manganese level in ug/L is greater than 7.48 and less than or equal to 9.38, and their waist circumference in centimeters is greater than 111.35",medium_0,normal,lognormal,0.6604224568873779,0.36495165184081135,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their total cholesterol in mg/dL is less than or equal to 158.0, and they have ever had a heart attack that was confirmed by a doctor",medium_1,normal,lognormal,0.05096508421001075,0.8183944714575402,,
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given their weight in kilograms is greater than 94.5, and their blood lead level in ug/dL is greater than 1.28",medium_2,beta,beta,,,10.201081848447368,39.550066829387816
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their waist circumference in centimeters is less than or equal to 87.9, and their total cholesterol in mg/dL is greater than 153.0 and less than or equal to 176.0",medium_3,normal,gaussian,70.00000008203574,4.540087839004086,,
