variable_name,variable,ground_truth,ground_truth_distribution_type,mean,std,a,b
The average waist circumference among adult (over 18) individuals in cm in the general US population,WaistCircumferenceCm,100.38684903677463,normal,96.0,2.0,,
The average total cholesterol among adult (over 18) individuals in units of mg/dL in the general US population,TotalCholesterolMgdl,188.1221353263126,normal,195.0,5.0,,
The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population,BloodLeadUgdl,1.0978834294272068,normal,1.0,0.2,,
The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population,BloodCadmiumUgl,0.4368693057644108,normal,0.3,0.05,,
The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population,BloodMercuryTotalUgl,1.2959934071907038,normal,0.5,0.05,,
The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population,BloodManganeseUgl,9.843415617395952,normal,9.0,0.5,,
The average weight among adult (over 18) individuals in the general US population in kilograms,WeightKg,84.0178628441432,normal,82.0,2.0,,
The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor,DoctorToldYouHaveDiabetes,0.13688460538540706,beta,,,11.0,89.0
The probability that the average adult (over 18) in the US population takes medication for depression,TakeMedicationForDepression,0.10983611404490994,beta,,,13.0,87.0
The probability that the average adult (over 18) in the US population or their spouse has health insurance,CoveredByHealthInsurance,0.8626390131150734,beta,,,46.0,4.0
The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor,EverToldYouHadCancerOrMalignancy,0.10957795320437716,beta,,,7.0,93.0
The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor,EverToldYouHadHeartAttack,0.036454840110654,beta,,,5.0,195.0
The probability that the average adult (over 18) in the US population has ever had serious difficulty concentrating,HaveSeriousDifficultyConcentrating,0.1069809229920304,beta,,,5.0,45.0
The probability that the average adult (over 18) in the US population is currently taking insulin,TakingInsulinNow,0.030410389143975175,beta,,,2.0,78.0
"The probability that the average adult (over 18) in the US population takes medication for depression, given they have ever had a heart attack that was confirmed by a doctor",easy_0,0.1799854881791661,beta,,,6.0,34.0
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they have ever had a heart attack that was confirmed by a doctor",easy_1,0.9249930964813364,beta,,,97.0,3.0
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their blood lead level in ug/dL is greater than 0.92 and less than or equal to 1.48",easy_2,0.4933923877996188,normal,0.5,0.1,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their blood mercury level in ug/L is greater than 1.46",easy_3,0.3921815605445806,normal,0.5,0.1,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their blood cadmium level in ug/L is greater than 0.5425",easy_4,78.91665124494659,normal,80.0,5.0,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their blood manganese level in ug/L is greater than 9.38 and less than or equal to 11.7125",easy_5,0.39644849878648625,normal,0.4,0.2,,
"The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population, given their waist circumference in centimeters is less than or equal to 87.9",easy_6,1.0004345500593974,normal,1.0,0.3,,
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they are currently taking insulin",easy_7,0.9429069079428928,beta,,,93.0,7.0
"The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population, given their blood mercury level in ug/L is greater than 1.46",easy_8,1.2372229538142916,normal,1.2,0.3,,
"The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor, given they have serious difficulty concentrating",easy_9,0.08856772450252827,beta,,,3.0,57.0
