variable_name,variable,ground_truth,ground_truth_distribution_type,mean,std,a,b
The average waist circumference among adult (over 18) individuals in cm in the general US population,WaistCircumferenceCm,100.38684903677463,normal,99.0,1.0,,
The average total cholesterol among adult (over 18) individuals in units of mg/dL in the general US population,TotalCholesterolMgdl,188.1221353263126,normal,190.0,2.0,,
The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population,BloodLeadUgdl,1.0978834294272068,normal,1.0,0.15,,
The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population,BloodCadmiumUgl,0.4368693057644108,normal,0.4,0.05,,
The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population,BloodMercuryTotalUgl,1.2959934071907038,normal,0.5,0.05,,
The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population,BloodManganeseUgl,9.843415617395952,normal,9.5,1.0,,
The average weight among adult (over 18) individuals in the general US population in kilograms,WeightKg,84.0178628441432,normal,82.5,1.0,,
The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor,DoctorToldYouHaveDiabetes,0.13688460538540706,beta,0.115,0.005,468.05,3601.95
The probability that the average adult (over 18) in the US population takes medication for depression,TakeMedicationForDepression,0.10983611404490994,beta,0.14,0.02,42.00000000000001,258.0
The probability that the average adult (over 18) in the US population or their spouse has health insurance,CoveredByHealthInsurance,0.8626390131150734,beta,0.945,0.02,121.84593750000008,7.091562500000011
The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor,EverToldYouHadCancerOrMalignancy,0.10957795320437716,beta,0.07,0.015,20.183333333333337,268.15000000000003
The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor,EverToldYouHadHeartAttack,0.036454840110654,beta,0.03,0.006,24.219999999999995,783.1133333333332
The probability that the average adult (over 18) in the US population has ever had serious difficulty concentrating,HaveSeriousDifficultyConcentrating,0.1069809229920304,beta,0.08,0.02,14.64,168.36
The probability that the average adult (over 18) in the US population is currently taking insulin,TakingInsulinNow,0.030410389143975175,beta,0.028,0.005,30.453919999999997,1057.18608
"The probability that the average adult (over 18) in the US population takes medication for depression, given they have ever had a heart attack that was confirmed by a doctor",easy_0,0.1799854881791661,beta,0.15,0.035,15.462244897959181,87.61938775510203
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they have ever had a heart attack that was confirmed by a doctor",easy_1,0.9249930964813364,beta,0.97,0.02,69.59750000000005,2.1525000000000034
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their blood lead level in ug/dL is greater than 0.92 and less than or equal to 1.48",easy_2,0.4933923877996188,normal,0.42,0.08,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their blood mercury level in ug/L is greater than 1.46",easy_3,0.3921815605445806,normal,0.3,0.08,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their blood cadmium level in ug/L is greater than 0.5425",easy_4,78.91665124494659,normal,78.0,4.0,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their blood manganese level in ug/L is greater than 9.38 and less than or equal to 11.7125",easy_5,0.39644849878648625,normal,0.3,0.03,,
"The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population, given their waist circumference in centimeters is less than or equal to 87.9",easy_6,1.0004345500593974,normal,0.9,0.1,,
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they are currently taking insulin",easy_7,0.9429069079428928,beta,0.93,0.03,66.33999999999997,4.993333333333328
"The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population, given their blood mercury level in ug/L is greater than 1.46",easy_8,1.2372229538142916,normal,1.1,0.15,,
"The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor, given they have serious difficulty concentrating",easy_9,0.08856772450252827,beta,0.1,0.025,14.3,128.70000000000002
"The probability that the average adult (over 18) in the US population takes medication for depression, given they have ever been diagnosed with cancer by a doctor",easy_10,0.19493128113615096,beta,0.2,0.05,12.600000000000001,50.400000000000006
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their weight in kilograms is greater than 94.5",easy_11,0.3792825416594003,normal,0.5,0.1,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their waist circumference in centimeters is less than or equal to 87.9",easy_12,61.51678636747871,normal,70.0,3.0,,
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given their weight in kilograms is less than or equal to 66.5",easy_13,0.07249176492457206,beta,0.045,0.015,8.549999999999999,181.45
"The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population, given they are currently taking insulin",easy_14,0.98985228364987,normal,1.0,0.1,,
"The average waist circumference among adult (over 18) individuals in cm in the general US population, given they are currently taking insulin",easy_15,111.1603034427047,normal,108.0,5.0,,
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they take medication for depression",easy_16,0.9256086081908381,beta,0.92,0.04,41.399999999999984,3.5999999999999965
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given they have ever been diagnosed with cancer by a doctor",easy_17,1.5030180967202629,normal,1.0,0.25,,
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given they have ever had a heart attack that was confirmed by a doctor",easy_18,1.003168592665473,normal,1.1,0.3,,
"The average waist circumference among adult (over 18) individuals in cm in the general US population, given they have ever been diagnosed with diabetes by a doctor",easy_19,111.17048561329548,normal,108.0,3.0,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given they do not have health insurance, and they have ever been diagnosed with diabetes by a doctor",medium_0,99.35040588544162,normal,92.0,6.0,,
"The probability that the average adult (over 18) in the US population is currently taking insulin, given they take medication for depression, and they have ever had a heart attack that was confirmed by a doctor",medium_1,0.2800408376597024,beta,0.15,0.05,7.499999999999998,42.49999999999999
"The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor, given they take medication for depression, and their blood manganese level in ug/L is greater than 8.9 and less than or equal to 10.875",medium_2,0.2552476614990333,beta,0.1,0.04,5.525000000000001,49.72500000000001
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given their total cholesterol in mg/dL is greater than 158.0 and less than or equal to 183.0, and they do not have health insurance",medium_3,0.8872222181617718,normal,0.7,0.2,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their total cholesterol in mg/dL is greater than 183.0 and less than or equal to 212.0, and they have ever been diagnosed with diabetes by a doctor",medium_4,93.66582391759269,normal,90.0,4.0,,
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given their total cholesterol in mg/dL is greater than 158.0 and less than or equal to 183.0, and their weight in kilograms is greater than 94.2",medium_5,0.19004008577621928,beta,0.15,0.025,30.449999999999996,172.54999999999998
"The probability that the average adult (over 18) in the US population has ever had serious difficulty concentrating, given their weight in kilograms is greater than 66.5 and less than or equal to 78.9, and their blood manganese level in ug/L is less than or equal to 7.44",medium_6,0.17397821097242586,beta,0.05,0.015,10.505555555555556,199.60555555555555
