variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,mu,sigma,a,b
The average waist circumference among adult (over 18) individuals in cm in the general US population,WaistCircumferenceCm,normal,gaussian,95.0,5.0,,
The average total cholesterol among adult (over 18) individuals in units of mg/dL in the general US population,TotalCholesterolMgdl,normal,gaussian,190.0,5.0,,
The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population,BloodLeadUgdl,normal,gaussian,1.2,0.2,,
The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population,BloodCadmiumUgl,normal,gaussian,0.3,0.08,,
The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population,BloodMercuryTotalUgl,normal,lognormal,0.0,0.35,,
The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population,BloodManganeseUgl,normal,gaussian,10.0,1.0,,
The average weight among adult (over 18) individuals in the general US population in kilograms,WeightKg,normal,gaussian,76.0,6.0,,
The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor,DoctorToldYouHaveDiabetes,beta,beta,,,27.0,217.0
The probability that the average adult (over 18) in the US population takes medication for depression,TakeMedicationForDepression,beta,beta,,,6.0,38.0
The probability that the average adult (over 18) in the US population or their spouse has health insurance,CoveredByHealthInsurance,beta,beta,,,93.0,7.0
The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor,EverToldYouHadCancerOrMalignancy,beta,beta,,,7.0,100.0
The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor,EverToldYouHadHeartAttack,beta,beta,,,5.0,195.0
The probability that the average adult (over 18) in the US population has ever had serious difficulty concentrating,HaveSeriousDifficultyConcentrating,beta,beta,,,8.0,43.0
The probability that the average adult (over 18) in the US population is currently taking insulin,TakingInsulinNow,beta,beta,,,6.0,237.0
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their blood cadmium level in ug/L is greater than 0.5425",easy_0,normal,gaussian,80.0,5.0,,
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given their weight in kilograms is greater than 94.5",easy_1,beta,beta,,,7.0,33.0
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they have ever been diagnosed with cancer by a doctor",easy_2,beta,beta,,,18.0,2.0
"The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor, given they have ever been diagnosed with diabetes by a doctor",easy_3,beta,beta,,,3.1,17.7
