variable_name,variable,ground_truth_distribution_type,fitted_distribution_type,mu,sigma,a,b
The average waist circumference among adult (over 18) individuals in cm in the general US population,WaistCircumferenceCm,normal,gaussian,94.0,4.0,,
The average total cholesterol among adult (over 18) individuals in units of mg/dL in the general US population,TotalCholesterolMgdl,normal,gaussian,195.0,5.0,,
The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population,BloodLeadUgdl,normal,lognormal,-0.5635058815949039,0.32459284597450133,,
The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population,BloodCadmiumUgl,normal,lognormal,-0.767357183119082,0.38525317015992666,,
The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population,BloodMercuryTotalUgl,normal,lognormal,1.0459320308391966,0.32459284597450133,,
The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population,BloodManganeseUgl,normal,lognormal,0.3527848502792512,0.32459284597450133,,
The average weight among adult (over 18) individuals in the general US population in kilograms,WeightKg,normal,gaussian,80.0,5.0,,
The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor,DoctorToldYouHaveDiabetes,beta,beta,,,26.8125,216.9375
The probability that the average adult (over 18) in the US population takes medication for depression,TakeMedicationForDepression,beta,beta,,,13.96,102.37333333333335
The probability that the average adult (over 18) in the US population or their spouse has health insurance,CoveredByHealthInsurance,beta,beta,,,74.31555555555553,6.462222222222216
The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor,EverToldYouHadCancerOrMalignancy,beta,beta,,,21.1,119.56666666666668
The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor,EverToldYouHadHeartAttack,beta,beta,,,11.78625,324.96375
The probability that the average adult (over 18) in the US population has ever had serious difficulty concentrating,HaveSeriousDifficultyConcentrating,beta,beta,,,7.499999999999998,42.49999999999999
The probability that the average adult (over 18) in the US population is currently taking insulin,TakingInsulinNow,beta,beta,,,8.699999999999998,281.29999999999995
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their blood cadmium level in ug/L is greater than 0.5425",easy_0,normal,gaussian,80.0,4.0,,
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given their weight in kilograms is greater than 94.5",easy_1,beta,beta,,,7.499999999999998,42.49999999999999
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they have ever been diagnosed with cancer by a doctor",easy_2,beta,beta,,,31.49999999999999,3.499999999999998
"The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor, given they have ever been diagnosed with diabetes by a doctor",easy_3,beta,beta,,,7.499999999999998,42.49999999999999
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they are currently taking insulin",easy_4,beta,beta,,,31.49999999999999,3.499999999999998
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given they have ever had a heart attack that was confirmed by a doctor",easy_5,beta,beta,,,18.499999999999996,55.499999999999986
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their waist circumference in centimeters is greater than 110.7",easy_6,normal,gaussian,95.0,5.0,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given they do not have health insurance",easy_7,normal,lognormal,-0.767357183119082,0.38525317015992666,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their waist circumference in centimeters is less than or equal to 87.9",easy_8,normal,lognormal,-0.9466030427823724,0.24622067706923975,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their blood mercury level in ug/L is less than or equal to 0.35",easy_9,normal,lognormal,-0.9466030427823724,0.24622067706923975,,
"The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population, given they are currently taking insulin",easy_10,normal,lognormal,0.3527848502792512,0.32459284597450133,,
"The probability that the average adult (over 18) in the US population has ever had serious difficulty concentrating, given they take medication for depression",easy_11,beta,beta,,,7.612499999999997,14.137499999999996
"The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population, given their blood cadmium level in ug/L is greater than 0.5425",easy_12,normal,lognormal,0.8420807293150184,0.38525317015992666,,
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given their waist circumference in centimeters is greater than 110.7",easy_13,normal,lognormal,1.566349064313574,0.293560379208524,,
"The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor, given they are currently taking insulin",easy_14,beta,beta,,,7.499999999999998,42.49999999999999
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given they have ever had a heart attack that was confirmed by a doctor",easy_15,normal,lognormal,-0.767357183119082,0.38525317015992666,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given they have ever been diagnosed with diabetes by a doctor",easy_16,normal,gaussian,85.0,5.0,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their weight in kilograms is greater than 94.5",easy_17,normal,lognormal,-0.9466030427823724,0.24622067706923975,,
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given their blood lead level in ug/dL is greater than 0.55 and less than or equal to 0.92",easy_18,normal,lognormal,1.566349064313574,0.293560379208524,,
"The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population, given their weight in kilograms is greater than 66.5 and less than or equal to 78.9",easy_19,normal,gaussian,2.0,0.5,,
"The average blood lead level among adult (over 18) individuals in units of ug/dL in the general US population, given their blood manganese level in ug/L is greater than 7.48 and less than or equal to 9.38, and their waist circumference in centimeters is greater than 111.35",medium_0,normal,gaussian,1.5,0.5,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their total cholesterol in mg/dL is less than or equal to 158.0, and they have ever had a heart attack that was confirmed by a doctor",medium_1,normal,lognormal,-0.2889317302085693,0.36273455554815737,,
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given their weight in kilograms is greater than 94.5, and their blood lead level in ug/dL is greater than 1.28",medium_2,beta,beta,,,12.600000000000001,50.400000000000006
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their waist circumference in centimeters is less than or equal to 87.9, and their total cholesterol in mg/dL is greater than 153.0 and less than or equal to 176.0",medium_3,normal,gaussian,75.0,4.0,,
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given their blood mercury level in ug/L is greater than 0.68 and less than or equal to 1.46, and they have ever had a heart attack that was confirmed by a doctor",medium_4,beta,beta,,,9.987499999999999,1.7625
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they have ever had a heart attack that was confirmed by a doctor, and they have not been diagnosed with diabetes by a doctor",medium_5,beta,beta,,,42.49999999999999,7.5
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given they are currently taking insulin, and their blood lead level in ug/dL is greater than 0.65 and less than or equal to 0.91",medium_6,normal,lognormal,0.3527848502792512,0.32459284597450133,,
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they are currently taking insulin, and they have ever had a heart attack that was confirmed by a doctor",medium_7,beta,beta,,,21.267346938775507,3.753061224489796
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their waist circumference in centimeters is less than or equal to 87.9, and they have ever been diagnosed with diabetes by a doctor",medium_8,normal,gaussian,75.0,3.0,,
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given their total cholesterol in mg/dL is greater than 183.0 and less than or equal to 212.0, and their waist circumference in centimeters is greater than 99.8 and less than or equal to 111.75",medium_9,normal,lognormal,1.227300028515188,0.22566763161862624,,
"The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor, given their blood lead level in ug/dL is less than or equal to 0.55, and their waist circumference in centimeters is greater than 112.625",medium_10,beta,beta,,,9.900000000000002,89.10000000000001
"The average weight among adult (over 18) individuals in the general US population in kilograms, given they have ever been diagnosed with diabetes by a doctor, and their blood mercury level in ug/L is greater than 0.35 and less than or equal to 0.69",medium_11,normal,gaussian,85.0,5.0,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given they have serious difficulty concentrating, and their waist circumference in centimeters is less than or equal to 89.5",medium_12,normal,gaussian,70.0,5.0,,
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given they have ever had a heart attack that was confirmed by a doctor, and their total cholesterol in mg/dL is greater than 139.0 and less than or equal to 164.0",medium_13,normal,lognormal,1.4978661367769954,0.47238072707743883,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given their weight in kilograms is greater than 94.5, and their blood lead level in ug/dL is less than or equal to 0.5",medium_14,normal,lognormal,-0.9466030427823724,0.24622067706923975,,
"The average waist circumference among adult (over 18) individuals in cm in the general US population, given they do not have health insurance, and they have serious difficulty concentrating",medium_15,normal,gaussian,105.0,5.0,,
"The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor, given they have not been diagnosed with diabetes by a doctor, and they do not have health insurance",medium_16,beta,beta,,,11.322500000000002,150.42749999999998
"The probability that a member of the US population who is over 18 has ever had a heart attack that was confirmed by a doctor, given they have ever been diagnosed with diabetes by a doctor, and they have ever been diagnosed with cancer by a doctor",medium_17,beta,beta,,,7.499999999999998,42.49999999999999
"The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor, given that they do not take medication for depression, and they have ever had a heart attack that was confirmed by a doctor",medium_18,beta,beta,,,7.499999999999998,42.49999999999999
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given they have ever been diagnosed with diabetes by a doctor, and they do not have health insurance",medium_19,normal,lognormal,0.8675459212355265,0.31223328022050617,,
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they do not have serious difficulty concentrating, and they have not been diagnosed with cancer by a doctor, and they are currently taking insulin",hard_0,beta,beta,,,42.49999999999999,7.5
"The average blood manganese level among adult (over 18) individuals in units of ug/L in the general US population, given their waist circumference in centimeters is greater than 98.9 and less than or equal to 110.7, and they have serious difficulty concentrating, and their blood mercury level in ug/L is greater than 0.51 and less than or equal to 1.24",hard_1,normal,gaussian,10.0,2.0,,
"The average waist circumference among adult (over 18) individuals in cm in the general US population, given their blood mercury level in ug/L is less than or equal to 0.35, and their weight in kilograms is greater than 79.3 and less than or equal to 97.25, and their total cholesterol in mg/dL is greater than 205.75",hard_2,normal,gaussian,95.0,5.0,,
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they take medication for depression, and their blood lead level in ug/dL is greater than 0.56 and less than or equal to 0.91, and their weight in kilograms is greater than 73.85 and less than or equal to 84.0",hard_3,beta,beta,,,13.312499999999996,4.437499999999999
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given they have not been diagnosed with cancer by a doctor, and their total cholesterol in mg/dL is greater than 185.0 and less than or equal to 213.0, and their blood manganese level in ug/L is greater than 11.7225",hard_4,normal,lognormal,-0.3959107516594801,0.2801278555258211,,
"The average weight among adult (over 18) individuals in the general US population in kilograms, given they do not have serious difficulty concentrating, and their waist circumference in centimeters is greater than 110.3, and their total cholesterol in mg/dL is less than or equal to 155.0",hard_5,normal,gaussian,85.0,5.0,,
"The probability that a member of the US population who is over 18 has ever been diagnosed with cancer by a doctor, given their blood mercury level in ug/L is less than or equal to 0.35, and they are currently taking insulin, and that they do not take medication for depression",hard_6,beta,beta,,,9.900000000000002,89.10000000000001
"The average blood mercury level among adult (over 18) individuals in units of ug/L in the general US population, given they have not been diagnosed with cancer by a doctor, and their total cholesterol in mg/dL is greater than 213.0, and their blood manganese level in ug/L is greater than 11.64",hard_7,normal,lognormal,0.3527848502792512,0.32459284597450133,,
"The probability that the average adult (over 18) in the US population or their spouse has health insurance, given they have ever been diagnosed with diabetes by a doctor, and their blood lead level in ug/dL is greater than 0.67 and less than or equal to 1.01, and their total cholesterol in mg/dL is less than or equal to 148.0",hard_8,beta,beta,,,21.267346938775507,3.753061224489796
"The probability that the average adult (over 18) in the US population has ever been diagnosed with diabetes by a doctor, given their blood cadmium level in ug/L is greater than 0.5425, and their total cholesterol in mg/dL is greater than 161.0 and less than or equal to 185.0, and they do not have serious difficulty concentrating",hard_9,beta,beta,,,7.499999999999998,42.49999999999999
"The probability that the average adult (over 18) in the US population has ever had serious difficulty concentrating, given their total cholesterol in mg/dL is greater than 212.0, and their weight in kilograms is greater than 66.825 and less than or equal to 78.75, and they take medication for depression",hard_10,beta,beta,,,4.437499999999999,13.312499999999996
"The average weight among adult (over 18) individuals in the general US population in kilograms, given their blood mercury level in ug/L is greater than 1.46, and their waist circumference in centimeters is less than or equal to 85.7, and their total cholesterol in mg/dL is greater than 215.0",hard_11,normal,gaussian,75.0,5.0,,
"The average blood cadmium level among adult (over 18) individuals in units of ug/L in the general US population, given they have ever been diagnosed with diabetes by a doctor, and they have not been diagnosed with cancer by a doctor, and they do not have health insurance",hard_12,normal,lognormal,-0.767357183119082,0.38525317015992666,,
