variable_name,variable,ground_truth,ground_truth_distribution_type,fitted_distribution_type,mu,sigma,mean,std,a,b
The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US,Midpoint Salary,125685.70774091627,normal,lognormal,6.6,0.3,768.9300476319738,235.96793668347578,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is public",single_0,133754.13194444444,normal,lognormal,6.2,0.5,558.3578136649854,297.57140865536786,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Aerospace & Defense sector",single_1,115062.5,normal,lognormal,5.5,0.5,277.272284523134,147.7695883667635,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $1 to $5 billion (USD) revenue",single_2,116732.74774774775,normal,lognormal,5.2,0.5,205.40836046478316,109.47040352473563,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $500 million to $1 billion (USD) revenue",single_3,113268.88888888889,normal,lognormal,5.2,0.5,205.40836046478316,109.47040352473563,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has 201 to 500 Employees",single_4,112262.5,normal,gaussian,,,100000.0,20000.0,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in Remote",single_5,118243.68421052632,normal,lognormal,4.8,0.3,127.10328199373689,39.00523758972028,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is not public",single_6,118950.32753623188,normal,lognormal,6.5,0.4,720.5393292491601,300.138035668095,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company has $10+ billion (USD) revenue",single_7,135893.49512195121,normal,lognormal,5.3,0.5,227.0113463152779,120.98350636554365,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Manufacturing sector",single_8,118044.11764705883,normal,lognormal,4.85,0.35,135.80906968893552,49.02672054008746,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in VA",single_9,112807.69230769231,normal,lognormal,4.6,0.5,112.73049837406913,60.07863126228341,,
"The average midpoint of the posted salary range (in dollars) for data science and adjacent jobs in the US, given the company is in the Healthcare sector",single_10,117827.01190476191,normal,lognormal,4.6,0.5,112.73049837406913,60.07863126228341,,
